frame,time_s,status,wrist_x,wrist_y,wrist_z,shoulder_vis,elbow_vis,wrist_vis,shoulder_yaw,shoulder_pitch,elbow_flex,torso_yaw,torso_ok,target_j1,target_j2,target_j3,target_j4,target_j5,target_j6,actual_j1,actual_j2,actual_j3,actual_j4,actual_j5,actual_j6
220,1768672040.073343,Pose: tracking,-0.0788680836558342,1.228684663772583,-2.168422222137451,0.9976392388343811,0.7960158586502075,0.7378629446029663,-0.6569609181621245,-0.8493500625051702,0.2375558288586661,0.5283882329278651,0,0.7596658776510052,2.3737786685876574,-0.2594555840372042,0.0,0.0,0.0,0.005937122184746012,0.24857023052566743,-0.43236000600620955,-9.232078696178489e-05,-0.005118257762329228,-5.3720132776439156e-05
225,1768672040.551235,Pose: tracking,-0.005951051600277424,1.1448338031768799,-1.9982224702835083,0.9978654384613037,0.7966713905334473,0.7396199703216553,-0.41682187542707505,-0.4586901239014831,0.3606468049534888,0.28334631021467227,0,0.5137095537095103,2.100087057832995,-0.3899375424179358,0.0,0.0,0.0,0.008594921549393987,0.253478487144234,-0.4211342100983613,-8.814351179338752e-05,-0.004930533470488295,-4.836768522284161e-05
230,1768672040.814637,Pose: tracking,0.10469824820756912,0.9088696241378784,-1.6977362632751465,0.9972996711730957,0.7853773832321167,0.7616997957229614,-0.5041842410318851,-0.502308342789196,0.4822180770354798,0.4606117074684368,0,0.6805374697928264,2.096201028469938,-0.4936604095090725,0.0,0.0,0.0,0.011495029033773379,0.24812828651141744,-0.41395239031939096,-8.689707041686244e-05,-0.004907493222385807,-4.556993595383833e-05
235,1768672040.989836,Pose: tracking,-0.11592508107423782,1.095725655555725,-1.5990608930587769,0.9976359009742737,0.7767620086669922,0.7873300313949585,-0.30343153381522325,-0.35382962574473537,0.3316369057999786,0.10446928671147004,0,0.12654885434033658,1.9465490799291003,-0.39705210771981236,0.0,0.0,0.0,0.013273802944584011,0.24277800711578026,-0.4221331998995597,-8.930100462197569e-05,-0.005061267980326114,-4.463782345840025e-05
240,1768672041.167479,Pose: tracking,-0.0712147131562233,1.1418837308883667,-1.5208070278167725,0.9974252581596375,0.775383472442627,0.7877246737480164,-0.5040533145463085,-0.5401289318344004,0.33900693900673273,0.28709871693064337,0,0.4645793527406634,2.1182245769271004,-0.3569517718505153,0.0,0.0,0.0,0.014146330516070076,0.24755951509716756,-0.4118698138130795,-9.179650376827456e-05,-0.005243671462872598,-4.4973564610827524e-05
245,1768672041.344245,Pose: tracking,-0.06521357595920563,1.1677159070968628,-1.742040991783142,0.996367335319519,0.7737679481506348,0.7762904167175293,-0.6101513562552844,-0.7152159045147785,0.3100714751575482,0.42446319955833167,0,0.6208463551332084,2.344188230555188,-0.3237475681367856,0.0,0.0,0.0,0.014165617805793866,0.2662987513709398,-0.3997041257654584,-9.249688865626456e-05,-0.00530773337476681,-4.4340878755461856e-05
250,1768672041.521714,Pose: tracking,0.03572160750627518,0.7161879539489746,-1.4786980152130127,0.9962912201881409,0.7692064642906189,0.7941182851791382,-0.4304925304243951,-0.2572267727649122,0.5484495697484704,0.25717353459005765,0,0.37821640888498653,1.9083977393816058,-0.5546803306266496,0.0,0.0,0.0,0.01417580234694743,0.25595280538923937,-0.40837844056372047,-8.685503481372694e-05,-0.004986630919107921,-4.032965183269048e-05
255,1768672041.698377,Pose: tracking,-0.0015334819909185171,0.6462693810462952,-1.6695209741592407,0.993755578994751,0.7917920351028442,0.850052535533905,-0.3729031883354267,-0.13539949195429885,0.4369850192624054,0.19056805220877937,0,0.35523637421148446,1.739484177565146,-0.4536078919324963,0.0,0.0,0.0,0.014185799376094427,0.2348746758527298,-0.41719340973441565,-9.045411483303197e-05,-0.005218444498531215,-4.163929174097933e-05
260,1768672041.874738,Pose: tracking,-0.007876579649746418,0.8930206298828125,-1.4482483863830566,0.9933658242225647,0.7749427556991577,0.8790374398231506,-0.2641551774074784,-0.18729757212390127,0.30332074069326076,0.0992279500011497,0,0.17135017343459438,1.7554682613385064,-0.33236987384648964,0.0,0.0,0.0,0.014188213551750466,0.22328533326253885,-0.42286279836384705,-9.397049070150694e-05,-0.005441996764124819,-4.309104915151883e-05
265,1768672042.0503428,Pose: tracking,0.00997086986899376,1.440517544746399,-1.0177756547927856,0.993687629699707,0.6940965056419373,0.7550987005233765,0.009860817132885783,-0.5476265343973659,0.3821618329225669,-0.24748149020895283,0,-0.37130459619812867,2.08394465890364,-0.44068746805456827,0.0,0.0,0.0,0.014183152274866904,0.23302796463265088,-0.4247055168292242,-9.138462076352614e-05,-0.005297629822251496,-4.1590765985778387e-05
